mol_id,pl,solvent,canonical_smiles
tadf_0,1.943326018808778,Cc1ccccc1,c1ccc2c(c1)Oc1ccccc1N2c1ccc2c3c(cccc13)-c1nc3cc(-c4ccncc4)c(-c4ccncc4)cc3nc1-2
tadf_1,1.940284820031299,Cc1ccccc1,c1ccc2c(c1)Oc1ccccc1N2c1ccc2c(c1)c1ccccc1c1nc3cc(-c4ccncc4)c(-c4ccncc4)cc3nc21
tadf_2,2.66632688172043,Cc1ccccc1,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3-n3c4ccccc4c4ccccc43)n2)cc1
tadf_3,2.883353488372093,Cc1ccccc1,c1ccc(-c2nc(-c3ccccc3)nc(-c3cccc(-c4ccccc4)c3-n3c4ccccc4c4ccccc43)n2)cc1
tadf_4,2.817822727272727,Cc1ccccc1,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2CCCCCCCCC1(CCCCCCCCn2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c2ccccc2-c2ccc(-c3c4ccccc4c(-c4ccc(C#N)cc4)c4ccccc34)cc21
tadf_5,2.924155660377359,Cc1ccccc1,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2CCCCCCCCC1(CCCCCCCCn2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c2ccccc2-c2ccc(-c3cc4c5ccccc5c(-c5ccc(C#N)cc5)cc4c4ccccc34)cc21
tadf_6,2.313138059701493,Cc1ccccc1,CC1(C)c2ccccc2N(c2ccc(C(=O)c3ccc(Sc4ccccc4)cc3)cc2)c2ccccc21
tadf_7,2.160003484320558,Cc1ccccc1,CC1(C)c2ccccc2N(c2ccc(C(=O)c3ccc(S(=O)(=O)c4ccccc4)cc3)cc2)c2ccccc21
tadf_8,1.895782874617737,Cc1ccccc1,CC(C)c1cccc(C(C)C)c1N1C(=O)c2cc(N3c4ccccc4C(C)(C)c4ccccc43)cc3cc(N4c5ccccc5C(C)(C)c5ccccc54)cc(c23)C1=O
tadf_9,1.642174834437086,Cc1ccccc1,CC(C)c1cccc(C(C)C)c1N1C(=O)c2cc(N3c4ccccc4Oc4ccccc43)cc3cc(N4c5ccccc5Oc5ccccc54)cc(c23)C1=O
tadf_10,3.031398533007335,Cc1ccccc1,Cn1c(-c2ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cc2)nc(C#N)c1C#N
tadf_11,2.817822727272727,Cc1ccccc1,Cn1c(-c2ccc(N(c3ccc(C(C)(C)C)cc3)c3ccc(C(C)(C)C)cc3)cc2)nc(C#N)c1C#N
tadf_12,2.924155660377359,Cc1ccccc1,Cn1c(-c2ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cc2)nc2cc(C#N)c(C#N)cc21
tadf_13,2.713002188183808,Cc1ccccc1,Cn1c(-c2ccc(N(c3ccc(C(C)(C)C)cc3)c3ccc(C(C)(C)C)cc3)cc2)nc2cc(C#N)c(C#N)cc21
tadf_14,2.588396659707725,Cc1ccccc1,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3-n3c4ccccc4c4ccc5c(c43)-c3ccccc3C53c4ccccc4-c4ccccc43)n2)cc1
tadf_15,2.326157598499062,Cc1ccccc1,N#Cc1nc2c3ccc(N4c5ccccc5Oc5ccccc54)cc3c3cc(N4c5ccccc5Oc5ccccc54)ccc3c2nc1C#N
tadf_16,2.300263450834879,Cc1ccccc1,N#Cc1nc2c3ccc(N4c5ccccc5Sc5ccccc54)cc3c3cc(N4c5ccccc5Sc5ccccc54)ccc3c2nc1C#N
tadf_17,2.98757108433735,Cc1ccccc1,c1ccc2c(c1)oc1c2ccc2c3ccccc3n(-c3cnc(-n4c5ccccc5c5ccc6c7ccccc7oc6c54)cn3)c21
tadf_18,2.792436936936937,Cc1ccccc1,c1ccc2c(c1)oc1c2ccc2c1c1ccccc1n2-c1cnc(-n2c3ccccc3c3c4oc5ccccc5c4ccc32)cn1
tadf_19,2.792436936936937,Cc1ccccc1,c1ccc2c(c1)oc1ccc3c4ccccc4n(-c4cnc(-n5c6ccccc6c6ccc7oc8ccccc8c7c65)cn4)c3c12
tadf_20,2.718951754385965,Cc1ccccc1,c1ccc2c(c1)sc1c2ccc2c3ccccc3n(-c3cnc(-n4c5ccccc5c5ccc6c7ccccc7sc6c54)cn3)c21
tadf_21,2.792436936936937,Cc1ccccc1,c1ccc2c(c1)sc1c2ccc2c1c1ccccc1n2-c1cnc(-n2c3ccccc3c3c4sc5ccccc5c4ccc32)cn1
tadf_22,2.730929515418502,Cc1ccccc1,c1ccc2c(c1)c1ccccc1n2-c1ccc2c(c1)c1ccccc1n2-c1cnc(-n2c3ccccc3c3cc(-n4c5ccccc5c5ccccc54)ccc32)cn1
tadf_29,2.370634799235182,Cc1ccccc1,c1ccc(N(c2ccccc2)c2ccc(-c3ccc4nc5c6ccc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)cc6c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)ccc6c5nc4c3)cc2)cc1
tadf_30,2.326157598499062,Cc1ccccc1,c1ccc(N(c2ccccc2)c2ccc(-c3ccc4c(c3)c3cc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)ccc3c3nc5cc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)c(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5nc43)cc2)cc1
tadf_31,2.178984182776802,Cc1ccccc1,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4nc5c6ccc(-c7ccc(N(c8ccc(OC)cc8)c8ccc(OC)cc8)cc7)cc6c6cc(-c7ccc(N(c8ccc(OC)cc8)c8ccc(OC)cc8)cc7)ccc6c5nc4c3)cc2)cc1
tadf_32,2.087276094276095,Cc1ccccc1,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)c3cc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)ccc3c3nc5cc(-c6ccc(N(c7ccc(OC)cc7)c7ccc(OC)cc7)cc6)c(-c6ccc(N(c7ccc(OC)cc7)c7ccc(OC)cc7)cc6)cc5nc43)cc2)cc1
tadf_33,1.858833583208396,Cc1ccccc1,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)cc3C4=O)cc2)cc1
tadf_34,1.858833583208396,Cc1ccccc1,O=C1c2ccc(-c3ccc(N(c4ccc(OCCCCCCn5c6ccccc6c6ccccc65)cc4)c4ccc(OCCCCCCn5c6ccccc6c6ccccc65)cc4)cc3)cc2C(=O)c2ccc(-c3ccc(N(c4ccc(OCCCCCCn5c6ccccc6c6ccccc65)cc4)c4ccc(OCCCCCCn5c6ccccc6c6ccccc65)cc4)cc3)cc21
