_id|doi|solvent|standard_value|corrected|solvent_smiles|eV|canonical_smiles
0|https://doi.org/10.1016/j.cej.2022.135775|toluene|638.0|1|Cc1ccccc1|1.943326018808778|c1ccc2c(c1)Oc1ccccc1N2c1ccc2c3c(cccc13)-c1nc3cc(-c4ccncc4)c(-c4ccncc4)cc3nc1-2
1|https://doi.org/10.1016/j.cej.2022.135775|toluene|639.0|1|Cc1ccccc1|1.940284820031299|c1ccc2c(c1)Oc1ccccc1N2c1ccc2c(c1)c1ccccc1c1nc3cc(-c4ccncc4)c(-c4ccncc4)cc3nc21
2|https://doi.org/10.1016/j.dyepig.2023.111250|toluene|465.0|1|Cc1ccccc1|2.66632688172043|c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3-n3c4ccccc4c4ccccc43)n2)cc1
4|https://doi.org/10.1016/j.jphotochem.2024.116046|toluene|440.0|0|Cc1ccccc1|2.817822727272727|CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2CCCCCCCCC1(CCCCCCCCn2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c2ccccc2-c2ccc(-c3c4ccccc4c(-c4ccc(C#N)cc4)c4ccccc34)cc21
5|https://doi.org/10.1016/j.jphotochem.2024.116046|toluene|424.0|0|Cc1ccccc1|2.924155660377359|CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2CCCCCCCCC1(CCCCCCCCn2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c2ccccc2-c2ccc(-c3cc4c5ccccc5c(-c5ccc(C#N)cc5)cc4c4ccccc34)cc21
6|https://doi.org/10.1016/j.dyepig.2021.109649|toluene|536.0|0|Cc1ccccc1|2.313138059701493|CC1(C)c2ccccc2N(c2ccc(C(=O)c3ccc(Sc4ccccc4)cc3)cc2)c2ccccc21
7|https://doi.org/10.1016/j.dyepig.2021.109649|toluene|574.0|0|Cc1ccccc1|2.160003484320558|CC1(C)c2ccccc2N(c2ccc(C(=O)c3ccc(S(=O)(=O)c4ccccc4)cc3)cc2)c2ccccc21
8|https://doi.org/10.1016/j.jlumin.2021.118683|toluene|654.0|0|Cc1ccccc1|1.895782874617737|CC(C)c1cccc(C(C)C)c1N1C(=O)c2cc(N3c4ccccc4C(C)(C)c4ccccc43)cc3cc(N4c5ccccc5C(C)(C)c5ccccc54)cc(c23)C1=O
9|https://doi.org/10.1016/j.jlumin.2021.118683|toluene|755.0|0|Cc1ccccc1|1.642174834437086|CC(C)c1cccc(C(C)C)c1N1C(=O)c2cc(N3c4ccccc4Oc4ccccc43)cc3cc(N4c5ccccc5Oc5ccccc54)cc(c23)C1=O
11|https://doi.org/10.1016/j.dyepig.2024.112417|toluene|440.0|0|Cc1ccccc1|2.817822727272727|Cn1c(-c2ccc(N(c3ccc(C(C)(C)C)cc3)c3ccc(C(C)(C)C)cc3)cc2)nc(C#N)c1C#N
13|https://doi.org/10.1016/j.dyepig.2024.112417|toluene|457.0|0|Cc1ccccc1|2.713002188183808|Cn1c(-c2ccc(N(c3ccc(C(C)(C)C)cc3)c3ccc(C(C)(C)C)cc3)cc2)nc2cc(C#N)c(C#N)cc21
15|https://doi.org/10.1016/j.orgel.2018.04.045|toluene|533.0|0|Cc1ccccc1|2.326157598499062|N#Cc1nc2c3ccc(N4c5ccccc5Oc5ccccc54)cc3c3cc(N4c5ccccc5Oc5ccccc54)ccc3c2nc1C#N
16|https://doi.org/10.1016/j.orgel.2018.04.045|toluene|539.0|0|Cc1ccccc1|2.300263450834879|N#Cc1nc2c3ccc(N4c5ccccc5Sc5ccccc54)cc3c3cc(N4c5ccccc5Sc5ccccc54)ccc3c2nc1C#N
18|https://doi.org/10.1016/j.cej.2020.127591|toluene|444.0|1|Cc1ccccc1|2.792436936936937|c1ccc2c(c1)oc1c2ccc2c1c1ccccc1n2-c1cnc(-n2c3ccccc3c3c4oc5ccccc5c4ccc32)cn1
20|https://doi.org/10.1016/j.cej.2020.127591|toluene|456.0|1|Cc1ccccc1|2.718951754385965|c1ccc2c(c1)sc1c2ccc2c3ccccc3n(-c3cnc(-n4c5ccccc5c5ccc6c7ccccc7sc6c54)cn3)c21
21|https://doi.org/10.1016/j.cej.2020.127591|toluene|444.0|1|Cc1ccccc1|2.792436936936937|c1ccc2c(c1)sc1c2ccc2c1c1ccccc1n2-c1cnc(-n2c3ccccc3c3c4sc5ccccc5c4ccc32)cn1
29|https://doi.org/10.1016/j.dyepig.2019.107957|toluene|523.0|0|Cc1ccccc1|2.370634799235182|c1ccc(N(c2ccccc2)c2ccc(-c3ccc4nc5c6ccc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)cc6c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)ccc6c5nc4c3)cc2)cc1
30|https://doi.org/10.1016/j.dyepig.2019.107957|toluene|533.0|0|Cc1ccccc1|2.326157598499062|c1ccc(N(c2ccccc2)c2ccc(-c3ccc4c(c3)c3cc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)ccc3c3nc5cc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)c(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5nc43)cc2)cc1
31|https://doi.org/10.1016/j.dyepig.2019.107957|toluene|569.0|0|Cc1ccccc1|2.178984182776802|COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4nc5c6ccc(-c7ccc(N(c8ccc(OC)cc8)c8ccc(OC)cc8)cc7)cc6c6cc(-c7ccc(N(c8ccc(OC)cc8)c8ccc(OC)cc8)cc7)ccc6c5nc4c3)cc2)cc1
32|https://doi.org/10.1016/j.dyepig.2019.107957|toluene|594.0|0|Cc1ccccc1|2.087276094276095|COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)c3cc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)ccc3c3nc5cc(-c6ccc(N(c7ccc(OC)cc7)c7ccc(OC)cc7)cc6)c(-c6ccc(N(c7ccc(OC)cc7)c7ccc(OC)cc7)cc6)cc5nc43)cc2)cc1
33|https://doi.org/10.1016/j.orgel.2017.06.034|toluene|667.0|1|Cc1ccccc1|1.858833583208396|COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)cc3C4=O)cc2)cc1
34|https://doi.org/10.1016/j.orgel.2017.06.034|toluene|667.0|1|Cc1ccccc1|1.858833583208396|O=C1c2ccc(-c3ccc(N(c4ccc(OCCCCCCn5c6ccccc6c6ccccc65)cc4)c4ccc(OCCCCCCn5c6ccccc6c6ccccc65)cc4)cc3)cc2C(=O)c2ccc(-c3ccc(N(c4ccc(OCCCCCCn5c6ccccc6c6ccccc65)cc4)c4ccc(OCCCCCCn5c6ccccc6c6ccccc65)cc4)cc3)cc21
